B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
108,0.7226786911487579,0.7049241662025452,67,0.5434373617172241,0.5572559833526611
222,0.5340363681316376,0.5355334281921387,130,0.5212785005569458,0.5335604548454285
85,0.8117648363113403,0.7965580374002457,52,0.7394326031208038,0.7546683698892593
179,0.5182905793190002,0.532060295343399,112,0.4985126256942749,0.5292894244194031
207,0.5444291234016418,0.5422881543636322,131,0.5143794119358063,0.5348166227340698
174,0.5337974429130554,0.5411327183246613,121,0.5120563209056854,0.5344645977020264
138,0.556432694196701,0.5485250651836395,97,0.5226902365684509,0.5359403491020203
244,0.5287715196609497,0.536123514175415,142,0.5119425058364868,0.5294883847236633
144,0.5590865314006805,0.5428017973899841,93,0.5067952573299408,0.5319242477416992
243,0.5301498472690582,0.5342869758605957,153,0.5088684558868408,0.5329598188400269
23,0.9955540630035102,0.9926745230332017,12,0.9888625415042043,0.9943520557135344
84,0.5917190909385681,0.5886460542678833,54,0.5600210130214691,0.5549064874649048
143,0.5879044830799103,0.5903233587741852,95,0.5564706325531006,0.5778510868549347
183,0.5294638872146606,0.5379246473312378,123,0.5032775402069092,0.5282482802867889
32,0.9998019802005729,0.9998019802005729,14,0.998866097535938,0.999090779281687
182,0.5307711958885193,0.5366696715354919,114,0.5098274052143097,0.5354030430316925
231,0.5286815762519836,0.5346584320068359,144,0.5199371576309204,0.5352399945259094
73,0.9297256544232368,0.9221373647451401,52,0.7396395802497864,0.7499901056289673
221,0.5307492613792419,0.5386882424354553,144,0.5110315084457397,0.5336060225963593
232,0.5313414633274078,0.5367774665355682,140,0.5159624218940735,0.5371619462966919
60,0.6905351877212524,0.6907179951667786,37,0.6698711216449738,0.6707696318626404
182,0.5307711958885193,0.5366696715354919,114,0.5098274052143097,0.5354030430316925
22,0.9997812879737467,0.9995993047778029,9,0.9982533517759293,0.9991922018234618
185,0.5357151031494141,0.5381004214286804,114,0.508924663066864,0.5362001359462738
108,0.7226786911487579,0.7049241662025452,67,0.5434373617172241,0.5572559833526611
22,0.9997812879737467,0.9995993047778029,9,0.9982533517759293,0.9991922018234618
