B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
235,0.13939309120178223,0.19275832176208496,33,0.10946154594421387,0.19446337223052979
216,0.16048848628997803,0.19464737176895142,41,0.12650716304779053,0.20226061344146729
172,0.13939309120178223,0.18977844715118408,34,0.12729144096374512,0.19608771800994873
193,0.16048848628997803,0.2008410096168518,38,0.13823330402374268,0.19558650255203247
179,0.13012152910232544,0.19161242246627808,30,0.1098511815071106,0.19913768768310547
221,0.13939309120178223,0.18907809257507324,40,0.13844341039657593,0.187594473361969
146,0.15824389457702637,0.19949942827224731,50,0.12689876556396484,0.20111626386642456
120,0.1590045690536499,0.19760030508041382,33,0.10936814546585083,0.1958087682723999
206,0.13939309120178223,0.19088870286941528,39,0.10946154594421387,0.19851911067962646
213,0.13939309120178223,0.19159013032913208,40,0.11674320697784424,0.20242857933044434
151,0.14103519916534424,0.19128870964050293,42,0.10902851819992065,0.18719780445098877
145,0.15022015571594238,0.19335705041885376,48,0.11021602153778076,0.19141602516174316
29,0.9462835900485516,0.9145167022943497,9,0.7428077459335327,0.7333416938781738
246,0.15022015571594238,0.19575822353363037,35,0.12018001079559326,0.20226061344146729
233,0.13012152910232544,0.19533008337020874,43,0.10972893238067627,0.19202160835266113
220,0.13012152910232544,0.19194304943084717,30,0.11850190162658691,0.1941249966621399
129,0.15071898698806763,0.19783908128738403,30,0.12866359949111938,0.1941300630569458
168,0.15022015571594238,0.184165358543396,44,0.12002527713775635,0.18825280666351318
148,0.14038985967636108,0.1972367763519287,45,0.11810922622680664,0.2021518349647522
225,0.14103519916534424,0.19624900817871094,41,0.11894196271896362,0.19432508945465088
155,0.13939309120178223,0.18555086851119995,38,0.10835719108581543,0.18532443046569824
19,0.539123147726059,0.5829135179519653,13,0.509680449962616,0.5713900923728943
253,0.13939309120178223,0.18800848722457886,29,0.12893211841583252,0.19305658340454102
97,0.17793786525726318,0.2289872169494629,38,0.1288290023803711,0.2213236689567566
187,0.13939309120178223,0.19067728519439697,39,0.12980705499649048,0.18774008750915527
174,0.15022015571594238,0.19053995609283447,32,0.11631691455841064,0.20659589767456055
93,0.15973377227783203,0.19168639183044434,38,0.1267399787902832,0.193750262260437
228,0.13939309120178223,0.18966233730316162,41,0.10972893238067627,0.19667953252792358
177,0.13939309120178223,0.1931896209716797,39,0.12018001079559326,0.1983203887939453
157,0.13844341039657593,0.1873825192451477,40,0.12850189208984375,0.19116944074630737
26,0.8114908337593079,0.7599111497402191,13,0.6322128772735596,0.6804835200309753
100,0.13939309120178223,0.18654334545135498,32,0.11807882785797119,0.19316792488098145
255,0.15130352973937988,0.19446539878845215,49,0.08932483196258545,0.1999567747116089
