B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
208,0.2112354040145874,0.22708261013031006,87,0.20157760381698608,0.22515654563903809
38,0.2393500804901123,0.24752843379974365,21,0.23363733291625977,0.24727487564086914
139,0.21032816171646118,0.22332459688186646,62,0.1989232301712036,0.2250010371208191
206,0.2066962718963623,0.22512471675872803,79,0.19856762886047363,0.22312235832214355
157,0.20967775583267212,0.22628092765808105,74,0.20307409763336182,0.2258821725845337
57,0.20888811349868774,0.22807931900024414,37,0.2056201696395874,0.22866111993789673
11,0.9791597779840231,0.9818165302276611,7,0.9456902630627155,0.9528047889471054
204,0.20770728588104248,0.2233828902244568,95,0.19977998733520508,0.2239314317703247
32,0.25971508026123047,0.2715942859649658,19,0.25220394134521484,0.27317678928375244
51,0.2142375111579895,0.2360924482345581,33,0.2102106213569641,0.23664593696594238
84,0.2128356695175171,0.22703218460083008,44,0.19727689027786255,0.2310575246810913
34,0.23284733295440674,0.24917441606521606,23,0.23284733295440674,0.24927663803100586
60,0.21307778358459473,0.2317095398902893,33,0.20814251899719238,0.23239731788635254
88,0.20682871341705322,0.22534531354904175,49,0.200619637966156,0.22395771741867065
117,0.20971214771270752,0.2249743938446045,60,0.20173287391662598,0.22393691539764404
49,0.21774590015411377,0.22962409257888794,31,0.21512067317962646,0.23282337188720703
218,0.2037612795829773,0.22360575199127197,118,0.20272433757781982,0.22362679243087769
23,0.6550178527832031,0.6544675230979919,12,0.3845399022102356,0.39444029331207275
72,0.21376341581344604,0.2297096848487854,40,0.20469021797180176,0.22876006364822388
119,0.2163136601448059,0.22528433799743652,59,0.20913749933242798,0.22632324695587158
234,0.20839351415634155,0.22386515140533447,108,0.20016348361968994,0.22315996885299683
143,0.2111796736717224,0.2259731888771057,75,0.20317113399505615,0.22494113445281982
161,0.20332485437393188,0.22434216737747192,89,0.20133233070373535,0.22504258155822754
112,0.20639604330062866,0.225805401802063,53,0.2003936767578125,0.22501254081726074
